id,name,#OfFeatures
0,baseProduct,2
1,interest,3
3,cancelDeposit,3
6,cancelWithdraw,3
24,credit,3
2,interest_interestEstimation,4
4,cancelDeposit_interest,4
7,interest_cancelWithdraw,4
9,cancelWithdraw_dailyLimit,4
12,cancelDeposit_cancelWithdraw,4
25,credit_interest,4
27,cancelDeposit_credit,4
30,credit_cancelWithdraw,4
5,cancelDeposit_interest_interestEstimation,5
8,interest_cancelWithdraw_interestEstimation,5
10,interest_cancelWithdraw_dailyLimit,5
13,cancelDeposit_interest_cancelWithdraw,5
15,cancelDeposit_cancelWithdraw_dailyLimit,5
18,cancelWithdraw_dailyLimit_overdraft,5
26,credit_interest_interestEstimation,5
28,cancelDeposit_credit_interest,5
31,credit_interest_cancelWithdraw,5
33,credit_cancelWithdraw_dailyLimit,5
36,cancelDeposit_credit_cancelWithdraw,5
11,interest_cancelWithdraw_dailyLimit_interestEstimation,6
14,cancelDeposit_interest_cancelWithdraw_interestEstimation,6
16,cancelDeposit_interest_cancelWithdraw_dailyLimit,6
19,interest_cancelWithdraw_dailyLimit_overdraft,6
21,cancelDeposit_cancelWithdraw_dailyLimit_overdraft,6
29,cancelDeposit_credit_interest_interestEstimation,6
32,credit_interest_cancelWithdraw_interestEstimation,6
34,credit_interest_cancelWithdraw_dailyLimit,6
37,cancelDeposit_credit_interest_cancelWithdraw,6
39,cancelDeposit_credit_cancelWithdraw_dailyLimit,6
17,cancelDeposit_interest_cancelWithdraw_dailyLimit_interestEstimation,7
20,interest_cancelWithdraw_dailyLimit_interestEstimation_overdraft,7
22,cancelDeposit_interest_cancelWithdraw_dailyLimit_overdraft,7
35,credit_interest_cancelWithdraw_dailyLimit_interestEstimation,7
38,cancelDeposit_credit_interest_cancelWithdraw_interestEstimation,7
40,cancelDeposit_credit_interest_cancelWithdraw_dailyLimit,7
23,cancelDeposit_interest_cancelWithdraw_dailyLimit_interestEstimation_overdraft,8
41,cancelDeposit_credit_interest_cancelWithdraw_dailyLimit_interestEstimation,8
