Transformation,Generation,Composition,Total
375.3329,562.4725,6.271,944.0763999999999
218.1505,520.4569,6.498,745.1054
12.7869,16.4721,2.2713,31.5303
6.2776,16.7291,1.5835,24.5902
7.3927,19.6438,1.4468,28.483299999999996
7.5584,18.3133,2.3463,28.218
4.4592,18.8267,1.6227,24.9086
5.1238,16.2104,1.7876,23.1218
5.3837,18.3728,1.4402,25.196700000000003
5.6175,21.1541,1.652,28.4236
6.8168,25.4419,2.3845,34.6432
6.1875,41.9468,8.3793,56.513600000000004
7.726,17.0349,2.4022,27.1631
12.6735,17.8672,1.8501,32.3908
12.992,19.0987,1.8501,33.940799999999996
12.8933,13.7726,1.6191,28.285
